item,itemLabel
http://www.wikidata.org/entity/Q61,"Washington, D.C."
http://www.wikidata.org/entity/Q62,San Francisco
http://www.wikidata.org/entity/Q64,Berlin
http://www.wikidata.org/entity/Q65,Los Angeles
http://www.wikidata.org/entity/Q70,Bern
http://www.wikidata.org/entity/Q71,Geneva
http://www.wikidata.org/entity/Q78,Basel
http://www.wikidata.org/entity/Q85,Cairo
http://www.wikidata.org/entity/Q87,Alexandria
http://www.wikidata.org/entity/Q100,Boston
http://www.wikidata.org/entity/Q172,Toronto
http://www.wikidata.org/entity/Q174,São Paulo
http://www.wikidata.org/entity/Q220,Rome
http://www.wikidata.org/entity/Q239,City of Brussels
http://www.wikidata.org/entity/Q240,Brussels-Capital Region
http://www.wikidata.org/entity/Q268,Poznań
http://www.wikidata.org/entity/Q270,Warsaw
http://www.wikidata.org/entity/Q279,Modena
http://www.wikidata.org/entity/Q288,Tours
http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q350,Cambridge
http://www.wikidata.org/entity/Q365,Cologne
http://www.wikidata.org/entity/Q384,Skopje
http://www.wikidata.org/entity/Q385,Gdynia
http://www.wikidata.org/entity/Q393,Szczecin
http://www.wikidata.org/entity/Q437,Ljubljana
http://www.wikidata.org/entity/Q456,Lyon
http://www.wikidata.org/entity/Q459,Plovdiv
http://www.wikidata.org/entity/Q472,Sofia
http://www.wikidata.org/entity/Q490,Milan
http://www.wikidata.org/entity/Q495,Turin
http://www.wikidata.org/entity/Q546,Trieste
http://www.wikidata.org/entity/Q580,Łódź
http://www.wikidata.org/entity/Q582,Villeurbanne
http://www.wikidata.org/entity/Q585,Oslo
http://www.wikidata.org/entity/Q586,Bonn
http://www.wikidata.org/entity/Q588,Katowice
http://www.wikidata.org/entity/Q597,Lisbon
http://www.wikidata.org/entity/Q598,Rzeszów
http://www.wikidata.org/entity/Q612,Dubai
http://www.wikidata.org/entity/Q617,Padua
http://www.wikidata.org/entity/Q628,Bergamo
http://www.wikidata.org/entity/Q641,Venice
http://www.wikidata.org/entity/Q647,Rennes
http://www.wikidata.org/entity/Q648,Lille
http://www.wikidata.org/entity/Q649,Moscow
http://www.wikidata.org/entity/Q656,Saint Petersburg
http://www.wikidata.org/entity/Q690,Delft
http://www.wikidata.org/entity/Q715,Heilbronn
http://www.wikidata.org/entity/Q727,Amsterdam
http://www.wikidata.org/entity/Q749,Groningen
http://www.wikidata.org/entity/Q761,Białystok
http://www.wikidata.org/entity/Q793,Zwolle
http://www.wikidata.org/entity/Q807,Lausanne
http://www.wikidata.org/entity/Q883,Novosibirsk
http://www.wikidata.org/entity/Q887,Yekaterinburg
http://www.wikidata.org/entity/Q891,Nizhny Novgorod
http://www.wikidata.org/entity/Q894,Samara
http://www.wikidata.org/entity/Q898,Omsk
http://www.wikidata.org/entity/Q900,Kazan
http://www.wikidata.org/entity/Q911,Ufa
http://www.wikidata.org/entity/Q914,Volgograd
http://www.wikidata.org/entity/Q915,Perm
http://www.wikidata.org/entity/Q919,Krasnoyarsk
http://www.wikidata.org/entity/Q956,Beijing
http://www.wikidata.org/entity/Q975,San Antonio
http://www.wikidata.org/entity/Q976,Tomsk
http://www.wikidata.org/entity/Q994,Tbilisi
http://www.wikidata.org/entity/Q1010,Maribor
http://www.wikidata.org/entity/Q1017,Aachen
http://www.wikidata.org/entity/Q1022,Stuttgart
http://www.wikidata.org/entity/Q1040,Karlsruhe
http://www.wikidata.org/entity/Q1055,Hamburg
http://www.wikidata.org/entity/Q1070,Ahmedabad
http://www.wikidata.org/entity/Q1083,Salerno
http://www.wikidata.org/entity/Q1085,Prague
http://www.wikidata.org/entity/Q1154,Jamnagar
http://www.wikidata.org/entity/Q1218,Jerusalem
http://www.wikidata.org/entity/Q1289,Grenoble
http://www.wikidata.org/entity/Q1295,Dortmund
http://www.wikidata.org/entity/Q1296,Ghent
http://www.wikidata.org/entity/Q1297,Chicago
http://www.wikidata.org/entity/Q1309,Maastricht
http://www.wikidata.org/entity/Q1342,Pittsburgh
http://www.wikidata.org/entity/Q1352,Chennai
http://www.wikidata.org/entity/Q1355,Bangalore
http://www.wikidata.org/entity/Q1362,Islamabad
http://www.wikidata.org/entity/Q1435,Zagreb
http://www.wikidata.org/entity/Q1449,Genoa
http://www.wikidata.org/entity/Q1461,Manila
http://www.wikidata.org/entity/Q1476,Le Mans
http://www.wikidata.org/entity/Q1479,Bordeaux
http://www.wikidata.org/entity/Q1486,Buenos Aires
http://www.wikidata.org/entity/Q1489,Mexico City
http://www.wikidata.org/entity/Q1490,Tokyo
http://www.wikidata.org/entity/Q1491,La Paz
http://www.wikidata.org/entity/Q1513,Nagpur
http://www.wikidata.org/entity/Q1515,Abidjan
http://www.wikidata.org/entity/Q1520,Astana
http://www.wikidata.org/entity/Q1524,Athens
http://www.wikidata.org/entity/Q3889,Maputo
http://www.wikidata.org/entity/Q3894,Kampala
http://www.wikidata.org/entity/Q3897,Luanda
http://www.wikidata.org/entity/Q3901,Moroni
http://www.wikidata.org/entity/Q3909,Maseru
http://www.wikidata.org/entity/Q3915,Antananarivo
http://www.wikidata.org/entity/Q3919,Gaborone
http://www.wikidata.org/entity/Q3921,Harare
http://www.wikidata.org/entity/Q3926,Pretoria
http://www.wikidata.org/entity/Q3927,Astrakhan
http://www.wikidata.org/entity/Q3929,Port Louis
http://www.wikidata.org/entity/Q3935,Windhoek
http://www.wikidata.org/entity/Q3977,Elista
http://www.wikidata.org/entity/Q3992,Liège
http://www.wikidata.org/entity/Q4035,Osasco
http://www.wikidata.org/entity/Q4093,Glasgow
http://www.wikidata.org/entity/Q4301,Arusha
http://www.wikidata.org/entity/Q4361,Curitiba
http://www.wikidata.org/entity/Q4454,Khabarovsk
http://www.wikidata.org/entity/Q4469,Talca
http://www.wikidata.org/entity/Q4582,Rancagua
http://www.wikidata.org/entity/Q4629,Surat
http://www.wikidata.org/entity/Q4709,Barquisimeto
http://www.wikidata.org/entity/Q4970,Hangzhou
http://www.wikidata.org/entity/Q5083,Seattle
http://www.wikidata.org/entity/Q5087,Siliguri
http://www.wikidata.org/entity/Q5088,Durgapur
http://www.wikidata.org/entity/Q5112,Adelaide
http://www.wikidata.org/entity/Q5168,Makhachkala
http://www.wikidata.org/entity/Q5196,Grozny
http://www.wikidata.org/entity/Q5206,Stavropol
http://www.wikidata.org/entity/Q5326,Cherkessk
http://www.wikidata.org/entity/Q5332,Saratov
http://www.wikidata.org/entity/Q5337,Orenburg
http://www.wikidata.org/entity/Q5343,Saransk
http://www.wikidata.org/entity/Q5384,Kirov
http://www.wikidata.org/entity/Q5426,Izhevsk
http://www.wikidata.org/entity/Q5449,Yoshkar-Ola
http://www.wikidata.org/entity/Q5465,Cape Town
http://www.wikidata.org/entity/Q5468,Durban
http://www.wikidata.org/entity/Q5470,Cheboksary
http://www.wikidata.org/entity/Q5540,Penza
http://www.wikidata.org/entity/Q5627,Ulyanovsk
http://www.wikidata.org/entity/Q5713,Mary
http://www.wikidata.org/entity/Q5753,Samarkand
http://www.wikidata.org/entity/Q5764,Bukhara
http://www.wikidata.org/entity/Q5815,Tyumen
http://www.wikidata.org/entity/Q5826,Xi'an
http://www.wikidata.org/entity/Q5869,Lhasa
http://www.wikidata.org/entity/Q5917,Huntington Beach
http://www.wikidata.org/entity/Q6014,Barnaul
http://www.wikidata.org/entity/Q6046,Novara
http://www.wikidata.org/entity/Q6106,Portland
http://www.wikidata.org/entity/Q6221,Brescia
http://www.wikidata.org/entity/Q6225,Coventry
http://www.wikidata.org/entity/Q6252,Monza
http://www.wikidata.org/entity/Q6346,Indianapolis
http://www.wikidata.org/entity/Q6441,Montpellier
http://www.wikidata.org/entity/Q6487,Antalya
http://www.wikidata.org/entity/Q6506,Varna
http://www.wikidata.org/entity/Q6509,Burgas
http://www.wikidata.org/entity/Q6526,Bolzano
http://www.wikidata.org/entity/Q6537,Vicenza
http://www.wikidata.org/entity/Q6548,Orléans
http://www.wikidata.org/entity/Q6576,Irkutsk
http://www.wikidata.org/entity/Q6602,Strasbourg
http://www.wikidata.org/entity/Q6610,Yakutsk
http://www.wikidata.org/entity/Q6640,Pokhara
http://www.wikidata.org/entity/Q6647,Lalitpur
http://www.wikidata.org/entity/Q6730,Perpignan
http://www.wikidata.org/entity/Q6761,Livorno
http://www.wikidata.org/entity/Q6816,Ulan-Ude
http://www.wikidata.org/entity/Q7003,Dijon
http://www.wikidata.org/entity/Q7525,Sevastopol
http://www.wikidata.org/entity/Q7550,Lutsk
http://www.wikidata.org/entity/Q7859,Yuzhno-Sakhalinsk
http://www.wikidata.org/entity/Q7880,Toulouse
http://www.wikidata.org/entity/Q8247,Biratnagar
http://www.wikidata.org/entity/Q8252,Birgunj
http://www.wikidata.org/entity/Q8254,Dharan
http://www.wikidata.org/entity/Q8385,Ostrava
http://www.wikidata.org/entity/Q8471,Reggio Calabria
http://www.wikidata.org/entity/Q8621,Terni
http://www.wikidata.org/entity/Q8646,Hong Kong
http://www.wikidata.org/entity/Q8660,Karachi
http://www.wikidata.org/entity/Q8673,Lagos
http://www.wikidata.org/entity/Q8678,Rio de Janeiro
http://www.wikidata.org/entity/Q8684,Seoul
http://www.wikidata.org/entity/Q8686,Shanghai
http://www.wikidata.org/entity/Q8969,Cancun
http://www.wikidata.org/entity/Q9022,Guadalajara
http://www.wikidata.org/entity/Q9125,Winterthur
http://www.wikidata.org/entity/Q9270,Thimphu
http://www.wikidata.org/entity/Q9310,Dili
http://www.wikidata.org/entity/Q9347,Malé
http://www.wikidata.org/entity/Q9361,Bishkek
http://www.wikidata.org/entity/Q9365,Dushanbe
http://www.wikidata.org/entity/Q9733,Noumea
http://www.wikidata.org/entity/Q9777,Venlo
http://www.wikidata.org/entity/Q9824,Erode
http://www.wikidata.org/entity/Q9832,Eindhoven
http://www.wikidata.org/entity/Q9863,Salem
http://www.wikidata.org/entity/Q9885,Coimbatore
http://www.wikidata.org/entity/Q9920,Haarlem
http://www.wikidata.org/entity/Q10002,Enschede
http://www.wikidata.org/entity/Q10086,Mysore
http://www.wikidata.org/entity/Q10566,Saskatoon
http://www.wikidata.org/entity/Q10686,Belfast
http://www.wikidata.org/entity/Q10690,Cardiff
http://www.wikidata.org/entity/Q10717,Georgetown
http://www.wikidata.org/entity/Q11194,Sarajevo
http://www.wikidata.org/entity/Q11283,Butwal
http://www.wikidata.org/entity/Q11568,Darwin
http://www.wikidata.org/entity/Q11711,Siem Reap
http://www.wikidata.org/entity/Q11720,Shenyang
http://www.wikidata.org/entity/Q11736,Tianjin
http://www.wikidata.org/entity/Q11739,Lahore
http://www.wikidata.org/entity/Q11746,Wuhan
http://www.wikidata.org/entity/Q11854,Rajkot
http://www.wikidata.org/entity/Q11909,Vadodara
http://www.wikidata.org/entity/Q11910,Gandhinagar
http://www.wikidata.org/entity/Q11959,Alicante
http://www.wikidata.org/entity/Q11977,Tychy
http://www.wikidata.org/entity/Q12191,Nantes
http://www.wikidata.org/entity/Q12193,Brest
http://www.wikidata.org/entity/Q12258,Sabadell
http://www.wikidata.org/entity/Q12439,Detroit
http://www.wikidata.org/entity/Q12886,Anderlecht
http://www.wikidata.org/entity/Q12892,Antwerp
http://www.wikidata.org/entity/Q12994,Bruges
http://www.wikidata.org/entity/Q13030,Curicó
http://www.wikidata.org/entity/Q13298,Graz
http://www.wikidata.org/entity/Q13329,Piacenza
http://www.wikidata.org/entity/Q13360,Reggio Emilia
http://www.wikidata.org/entity/Q13362,Ferrara
http://www.wikidata.org/entity/Q13364,Ravenna
http://www.wikidata.org/entity/Q13367,Forlì
http://www.wikidata.org/entity/Q13369,Rimini
http://www.wikidata.org/entity/Q13377,Prato
http://www.wikidata.org/entity/Q13379,Kurgan
http://www.wikidata.org/entity/Q13498,Taranto
http://www.wikidata.org/entity/Q13629,Sassari
http://www.wikidata.org/entity/Q13666,Messina
http://www.wikidata.org/entity/Q13670,Syracuse
http://www.wikidata.org/entity/Q13695,Tenochtitlan
http://www.wikidata.org/entity/Q14440,Iquique
http://www.wikidata.org/entity/Q14467,La Serena
http://www.wikidata.org/entity/Q14773,Macau
http://www.wikidata.org/entity/Q14960,Brno
http://www.wikidata.org/entity/Q15092,Castelló de la Plana
http://www.wikidata.org/entity/Q15174,Shenzhen
http://www.wikidata.org/entity/Q15468,Badalona
http://www.wikidata.org/entity/Q15470,L'Hospitalet de Llobregat
http://www.wikidata.org/entity/Q15674,Kagoshima
http://www.wikidata.org/entity/Q15760,Novorossiysk
http://www.wikidata.org/entity/Q15767,Armavir
http://www.wikidata.org/entity/Q16552,San Diego
http://www.wikidata.org/entity/Q16553,San Jose
http://www.wikidata.org/entity/Q16554,Denver
http://www.wikidata.org/entity/Q16555,Houston
http://www.wikidata.org/entity/Q16556,Phoenix
http://www.wikidata.org/entity/Q16557,Dallas
http://www.wikidata.org/entity/Q16558,Fort Worth
http://www.wikidata.org/entity/Q16559,Austin
http://www.wikidata.org/entity/Q16562,El Paso
http://www.wikidata.org/entity/Q16563,Memphis
http://www.wikidata.org/entity/Q16565,Charlotte
http://www.wikidata.org/entity/Q16567,Columbus
http://www.wikidata.org/entity/Q16568,Jacksonville
http://www.wikidata.org/entity/Q16572,Guangzhou
http://www.wikidata.org/entity/Q16666,Nanjing
http://www.wikidata.org/entity/Q16739,Long Beach
http://www.wikidata.org/entity/Q16868,Laredo
http://www.wikidata.org/entity/Q16910,Los Ángeles
http://www.wikidata.org/entity/Q16959,Ürümqi
http://www.wikidata.org/entity/Q17042,Oakland
http://www.wikidata.org/entity/Q17139,Akita
http://www.wikidata.org/entity/Q17151,Thessaloniki
http://www.wikidata.org/entity/Q17943,Arlington
http://www.wikidata.org/entity/Q18013,Sacramento
http://www.wikidata.org/entity/Q18094,Honolulu
http://www.wikidata.org/entity/Q18125,Manchester
http://www.wikidata.org/entity/Q18383,Providence
http://www.wikidata.org/entity/Q18575,Tucson
http://www.wikidata.org/entity/Q18780,Likasi
http://www.wikidata.org/entity/Q18808,Pyongyang
http://www.wikidata.org/entity/Q19157,Pervouralsk
http://www.wikidata.org/entity/Q19313,Barysaw
http://www.wikidata.org/entity/Q19316,Biên Hòa
http://www.wikidata.org/entity/Q19491,Nha Trang
http://www.wikidata.org/entity/Q19566,Simferopol
http://www.wikidata.org/entity/Q19660,Bucharest
http://www.wikidata.org/entity/Q19689,Tirana
http://www.wikidata.org/entity/Q20714,Suwon
http://www.wikidata.org/entity/Q20921,Daejeon
http://www.wikidata.org/entity/Q20927,Daegu
http://www.wikidata.org/entity/Q20929,Sejong
http://www.wikidata.org/entity/Q21194,Vũng Tàu
http://www.wikidata.org/entity/Q21197,Chișinău
http://www.wikidata.org/entity/Q22595,Aurora
http://www.wikidata.org/entity/Q22690,Metz
http://www.wikidata.org/entity/Q23025,Red Deer
http://www.wikidata.org/entity/Q23044,San Rafael
http://www.wikidata.org/entity/Q23051,Swansea
http://www.wikidata.org/entity/Q23154,Bristol
http://www.wikidata.org/entity/Q23185,Mytishchi
http://www.wikidata.org/entity/Q23197,Nashville
http://www.wikidata.org/entity/Q23430,Ulaanbaatar
http://www.wikidata.org/entity/Q23436,Edinburgh
http://www.wikidata.org/entity/Q23438,Ashgabat
http://www.wikidata.org/entity/Q23443,Provo
http://www.wikidata.org/entity/Q23482,Marseille
http://www.wikidata.org/entity/Q23551,Mérida
http://www.wikidata.org/entity/Q23556,Atlanta
http://www.wikidata.org/entity/Q23564,Podgorica
http://www.wikidata.org/entity/Q23661,Wellington
http://www.wikidata.org/entity/Q23768,Las Vegas
http://www.wikidata.org/entity/Q24603,Independence
http://www.wikidata.org/entity/Q24639,Vancouver
http://www.wikidata.org/entity/Q24826,Liverpool
http://www.wikidata.org/entity/Q24861,Albany
http://www.wikidata.org/entity/Q24879,Bremen
http://www.wikidata.org/entity/Q25262,Cà Mau
http://www.wikidata.org/entity/Q25270,Prishtina
http://www.wikidata.org/entity/Q25281,Đà Lạt
http://www.wikidata.org/entity/Q25282,Da Nang
http://www.wikidata.org/entity/Q25287,Gothenburg
http://www.wikidata.org/entity/Q25315,Phan Thiết
http://www.wikidata.org/entity/Q25319,Aarhus
http://www.wikidata.org/entity/Q25331,Odense
http://www.wikidata.org/entity/Q25395,Newark
http://www.wikidata.org/entity/Q25409,Košice
http://www.wikidata.org/entity/Q25410,Aalborg
http://www.wikidata.org/entity/Q25411,Helsingborg
http://www.wikidata.org/entity/Q25412,Västerås
http://www.wikidata.org/entity/Q25413,Linköping
http://www.wikidata.org/entity/Q25444,Funchal
http://www.wikidata.org/entity/Q25475,Batumi
http://www.wikidata.org/entity/Q25732,Örebro
http://www.wikidata.org/entity/Q25804,Trondheim
http://www.wikidata.org/entity/Q26101,Kasugai
http://www.wikidata.org/entity/Q26134,Nabatieh
http://www.wikidata.org/entity/Q26155,Jounieh
http://www.wikidata.org/entity/Q26323,Jieyang
http://www.wikidata.org/entity/Q26406,Akashi
http://www.wikidata.org/entity/Q26410,Yokkaichi
http://www.wikidata.org/entity/Q26418,Hakodate
http://www.wikidata.org/entity/Q26430,Tilburg
http://www.wikidata.org/entity/Q26590,Ciudad Juárez
http://www.wikidata.org/entity/Q26600,Fukuoka
http://www.wikidata.org/entity/Q26793,Bergen
http://www.wikidata.org/entity/Q26887,Davenport
http://www.wikidata.org/entity/Q27138,Unaizah
http://www.wikidata.org/entity/Q27161,Körfez
http://www.wikidata.org/entity/Q27174,Najran
http://www.wikidata.org/entity/Q27400,Hafar Al-Batin
http://www.wikidata.org/entity/Q27430,Jubail
http://www.wikidata.org/entity/Q27469,Sakakah
http://www.wikidata.org/entity/Q27660,Jizan
http://www.wikidata.org/entity/Q28198,Jackson
http://www.wikidata.org/entity/Q28218,Baton Rouge
http://www.wikidata.org/entity/Q28237,Lansing
http://www.wikidata.org/entity/Q28260,Lincoln
http://www.wikidata.org/entity/Q28301,Olinda
http://www.wikidata.org/entity/Q28441,São Luís
http://www.wikidata.org/entity/Q28515,Springfield
