item,itemLabel
http://www.wikidata.org/entity/L1217239-S1,L1217239-S1
http://www.wikidata.org/entity/Q649,Moscow
http://www.wikidata.org/entity/Q656,Saint Petersburg
http://www.wikidata.org/entity/Q875,Abakan
http://www.wikidata.org/entity/Q883,Novosibirsk
http://www.wikidata.org/entity/Q887,Yekaterinburg
http://www.wikidata.org/entity/Q891,Nizhny Novgorod
http://www.wikidata.org/entity/Q894,Samara
http://www.wikidata.org/entity/Q898,Omsk
http://www.wikidata.org/entity/Q900,Kazan
http://www.wikidata.org/entity/Q906,Chelyabinsk
http://www.wikidata.org/entity/Q908,Rostov-on-Don
http://www.wikidata.org/entity/Q911,Ufa
http://www.wikidata.org/entity/Q914,Volgograd
http://www.wikidata.org/entity/Q915,Perm
http://www.wikidata.org/entity/Q919,Krasnoyarsk
http://www.wikidata.org/entity/Q959,Vladivostok
http://www.wikidata.org/entity/Q976,Tomsk
http://www.wikidata.org/entity/Q1341,Tolyatti
http://www.wikidata.org/entity/Q1520,Astana
http://www.wikidata.org/entity/Q1763,Murmansk
http://www.wikidata.org/entity/Q1829,Kaliningrad
http://www.wikidata.org/entity/Q1851,Arkhangelsk
http://www.wikidata.org/entity/Q1895,Petrozavodsk
http://www.wikidata.org/entity/Q1899,Kyiv
http://www.wikidata.org/entity/Q1957,Vologda
http://www.wikidata.org/entity/Q2137,Totma
http://www.wikidata.org/entity/Q2143,Syktyvkar
http://www.wikidata.org/entity/Q2144,Cherepovets
http://www.wikidata.org/entity/Q2174,Naryan-Mar
http://www.wikidata.org/entity/Q2214,Pskov
http://www.wikidata.org/entity/Q2219,Syzran
http://www.wikidata.org/entity/Q2235,Veliky Novgorod
http://www.wikidata.org/entity/Q2280,Minsk
http://www.wikidata.org/entity/Q2288,Tver
http://www.wikidata.org/entity/Q2423,Yaroslavl
http://www.wikidata.org/entity/Q2592,Kostroma
http://www.wikidata.org/entity/Q2630,Ivanovo
http://www.wikidata.org/entity/Q2684,Vladimir
http://www.wikidata.org/entity/Q2746,Ryazan
http://www.wikidata.org/entity/Q2770,Tula
http://www.wikidata.org/entity/Q2801,Bryansk
http://www.wikidata.org/entity/Q2837,Kaluga
http://www.wikidata.org/entity/Q3118,Oryol
http://www.wikidata.org/entity/Q3159,Kursk
http://www.wikidata.org/entity/Q3323,Belgorod
http://www.wikidata.org/entity/Q3426,Voronezh
http://www.wikidata.org/entity/Q3490,Lipetsk
http://www.wikidata.org/entity/Q3544,Tambov
http://www.wikidata.org/entity/Q3927,Astrakhan
http://www.wikidata.org/entity/Q3977,Elista
http://www.wikidata.org/entity/Q4454,Khabarovsk
http://www.wikidata.org/entity/Q5099,Nadym
http://www.wikidata.org/entity/Q5196,Grozny
http://www.wikidata.org/entity/Q5206,Stavropol
http://www.wikidata.org/entity/Q5222,Magas
http://www.wikidata.org/entity/Q5239,Vladikavkaz
http://www.wikidata.org/entity/Q5265,Nalchik
http://www.wikidata.org/entity/Q5326,Cherkessk
http://www.wikidata.org/entity/Q5332,Saratov
http://www.wikidata.org/entity/Q5337,Orenburg
http://www.wikidata.org/entity/Q5343,Saransk
http://www.wikidata.org/entity/Q5384,Kirov
http://www.wikidata.org/entity/Q5426,Izhevsk
http://www.wikidata.org/entity/Q5449,Yoshkar-Ola
http://www.wikidata.org/entity/Q5470,Cheboksary
http://www.wikidata.org/entity/Q5540,Penza
http://www.wikidata.org/entity/Q5584,Zelenogradsk
http://www.wikidata.org/entity/Q5627,Ulyanovsk
http://www.wikidata.org/entity/Q5655,Chernyakhovsk
http://www.wikidata.org/entity/Q5660,Baltiysk (Russia)
http://www.wikidata.org/entity/Q5663,Gusev
http://www.wikidata.org/entity/Q5665,Svetly
http://www.wikidata.org/entity/Q5668,Gvardeysk
http://www.wikidata.org/entity/Q5671,Neman
http://www.wikidata.org/entity/Q5815,Tyumen
http://www.wikidata.org/entity/Q6014,Barnaul
http://www.wikidata.org/entity/Q6025,Gorno-Altaysk
http://www.wikidata.org/entity/Q6049,Kyzyl
http://www.wikidata.org/entity/Q6066,Kemerovo
http://www.wikidata.org/entity/Q6329,Khanty-Mansiysk
http://www.wikidata.org/entity/Q6494,Salekhard
http://www.wikidata.org/entity/Q6610,Yakutsk
http://www.wikidata.org/entity/Q6816,Ulan-Ude
http://www.wikidata.org/entity/Q6934,Blagoveshchensk
http://www.wikidata.org/entity/Q7054,Dalnegorsk
http://www.wikidata.org/entity/Q7525,Sevastopol
http://www.wikidata.org/entity/Q7550,Lutsk
http://www.wikidata.org/entity/Q7705,Kommunar
http://www.wikidata.org/entity/Q7769,Birobidzhan
http://www.wikidata.org/entity/Q7830,Sudak
http://www.wikidata.org/entity/Q7859,Yuzhno-Sakhalinsk
http://www.wikidata.org/entity/Q7938,Kirishi
http://www.wikidata.org/entity/Q7951,Petropavlovsk-Kamchatsky
http://www.wikidata.org/entity/Q7968,Magadan
http://www.wikidata.org/entity/Q7977,Priozersk
http://www.wikidata.org/entity/Q7978,Anadyr
http://www.wikidata.org/entity/Q8660,Karachi
http://www.wikidata.org/entity/Q13379,Kurgan
http://www.wikidata.org/entity/Q13661,Iglesias
http://www.wikidata.org/entity/Q14657,Vyborg
http://www.wikidata.org/entity/Q15235,Pikalyovo
http://www.wikidata.org/entity/Q15236,Boksitogorsk
http://www.wikidata.org/entity/Q15238,Volosovo
http://www.wikidata.org/entity/Q15245,Volkhov
http://www.wikidata.org/entity/Q15248,Vsevolozhsk
http://www.wikidata.org/entity/Q15250,Vysotsk
http://www.wikidata.org/entity/Q15256,Ivangorod
http://www.wikidata.org/entity/Q15264,Kamennogorsk
http://www.wikidata.org/entity/Q15270,Kingisepp
http://www.wikidata.org/entity/Q15273,Kirovsk
http://www.wikidata.org/entity/Q15275,Lodeynoye Pole
http://www.wikidata.org/entity/Q15279,Lyuban
http://www.wikidata.org/entity/Q15281,Nikolskoye
http://www.wikidata.org/entity/Q15287,Novaya Ladoga
http://www.wikidata.org/entity/Q15301,Podporozhye
http://www.wikidata.org/entity/Q15306,Svetogorsk
http://www.wikidata.org/entity/Q15307,Primorsk
http://www.wikidata.org/entity/Q15309,Sertolovo
http://www.wikidata.org/entity/Q15311,Slantsy
http://www.wikidata.org/entity/Q15320,Syasstroy
http://www.wikidata.org/entity/Q15322,Luga
http://www.wikidata.org/entity/Q15323,Otradnoye
http://www.wikidata.org/entity/Q15335,Sosnovy Bor
http://www.wikidata.org/entity/Q15336,Tikhvin
http://www.wikidata.org/entity/Q15337,Tosno
http://www.wikidata.org/entity/Q15339,Schlyüsselburg
http://www.wikidata.org/entity/Q15757,Suzdal
http://www.wikidata.org/entity/Q15758,Anapa
http://www.wikidata.org/entity/Q15759,Temryuk
http://www.wikidata.org/entity/Q15760,Novorossiysk
http://www.wikidata.org/entity/Q15762,Abinsk
http://www.wikidata.org/entity/Q15764,Apsheronsk
http://www.wikidata.org/entity/Q15767,Armavir
http://www.wikidata.org/entity/Q15774,Belorechensk
http://www.wikidata.org/entity/Q15775,Gelendzhik
http://www.wikidata.org/entity/Q16969,Gulkevichi
http://www.wikidata.org/entity/Q16971,Korenovsk
http://www.wikidata.org/entity/Q16973,Kropotkin
http://www.wikidata.org/entity/Q16982,Kurganinsk
http://www.wikidata.org/entity/Q16985,Labinsk
http://www.wikidata.org/entity/Q19157,Pervouralsk
http://www.wikidata.org/entity/Q19520,Podolsk
http://www.wikidata.org/entity/Q19566,Simferopol
http://www.wikidata.org/entity/Q23116,Ladushkin
http://www.wikidata.org/entity/Q23185,Mytishchi
http://www.wikidata.org/entity/Q25952,Maysky
http://www.wikidata.org/entity/Q32380,Sergeyevka
http://www.wikidata.org/entity/Q33345,Yevpatoriia
http://www.wikidata.org/entity/Q34261,Port-au-Prince
http://www.wikidata.org/entity/Q36526,Port Moresby
http://www.wikidata.org/entity/Q39420,Sochi
http://www.wikidata.org/entity/Q41970,Pyatigorsk
http://www.wikidata.org/entity/Q41993,Shelekhov
http://www.wikidata.org/entity/Q42234,Buzuluk
http://www.wikidata.org/entity/Q46001,Alushta
http://www.wikidata.org/entity/Q46639,Mozdok
